study,system,model,condition,run,metric,unit,value
primary_concurrency,gazsi,BERT-base,concurrency=1,1,throughput,requests/s,365.83
primary_concurrency,gazsi,BERT-base,concurrency=1,1,mean_ms,ms,2.73
primary_concurrency,gazsi,BERT-base,concurrency=1,2,throughput,requests/s,363.72
primary_concurrency,gazsi,BERT-base,concurrency=1,2,mean_ms,ms,2.75
primary_concurrency,gazsi,BERT-base,concurrency=1,3,throughput,requests/s,367.37
primary_concurrency,gazsi,BERT-base,concurrency=1,3,mean_ms,ms,2.72
primary_concurrency,gazsi,BERT-base,concurrency=1,4,throughput,requests/s,365.15
primary_concurrency,gazsi,BERT-base,concurrency=1,4,mean_ms,ms,2.74
primary_concurrency,gazsi,BERT-base,concurrency=1,5,throughput,requests/s,363.33
primary_concurrency,gazsi,BERT-base,concurrency=1,5,mean_ms,ms,2.75
primary_concurrency,gazsi,BERT-base,concurrency=2,1,throughput,requests/s,467.48
primary_concurrency,gazsi,BERT-base,concurrency=2,1,mean_ms,ms,4.28
primary_concurrency,gazsi,BERT-base,concurrency=2,2,throughput,requests/s,479.77
primary_concurrency,gazsi,BERT-base,concurrency=2,2,mean_ms,ms,4.17
primary_concurrency,gazsi,BERT-base,concurrency=2,3,throughput,requests/s,480.11
primary_concurrency,gazsi,BERT-base,concurrency=2,3,mean_ms,ms,4.16
primary_concurrency,gazsi,BERT-base,concurrency=2,4,throughput,requests/s,407.5
primary_concurrency,gazsi,BERT-base,concurrency=2,4,mean_ms,ms,4.9
primary_concurrency,gazsi,BERT-base,concurrency=2,5,throughput,requests/s,408.26
primary_concurrency,gazsi,BERT-base,concurrency=2,5,mean_ms,ms,4.9
primary_concurrency,gazsi,BERT-base,concurrency=4,1,throughput,requests/s,617.91
primary_concurrency,gazsi,BERT-base,concurrency=4,1,mean_ms,ms,6.47
primary_concurrency,gazsi,BERT-base,concurrency=4,2,throughput,requests/s,616.64
primary_concurrency,gazsi,BERT-base,concurrency=4,2,mean_ms,ms,6.48
primary_concurrency,gazsi,BERT-base,concurrency=4,3,throughput,requests/s,589.24
primary_concurrency,gazsi,BERT-base,concurrency=4,3,mean_ms,ms,6.78
primary_concurrency,gazsi,BERT-base,concurrency=4,4,throughput,requests/s,569.1
primary_concurrency,gazsi,BERT-base,concurrency=4,4,mean_ms,ms,7.02
primary_concurrency,gazsi,BERT-base,concurrency=4,5,throughput,requests/s,508.68
primary_concurrency,gazsi,BERT-base,concurrency=4,5,mean_ms,ms,7.86
primary_concurrency,gazsi,BERT-base,concurrency=8,1,throughput,requests/s,709.07
primary_concurrency,gazsi,BERT-base,concurrency=8,1,mean_ms,ms,11.27
primary_concurrency,gazsi,BERT-base,concurrency=8,2,throughput,requests/s,690.9
primary_concurrency,gazsi,BERT-base,concurrency=8,2,mean_ms,ms,11.57
primary_concurrency,gazsi,BERT-base,concurrency=8,3,throughput,requests/s,686.66
primary_concurrency,gazsi,BERT-base,concurrency=8,3,mean_ms,ms,11.64
primary_concurrency,gazsi,BERT-base,concurrency=8,4,throughput,requests/s,709.16
primary_concurrency,gazsi,BERT-base,concurrency=8,4,mean_ms,ms,11.27
primary_concurrency,gazsi,BERT-base,concurrency=8,5,throughput,requests/s,715.91
primary_concurrency,gazsi,BERT-base,concurrency=8,5,mean_ms,ms,11.17
primary_concurrency,gazsi,BERT-base,concurrency=16,1,throughput,requests/s,803.57
primary_concurrency,gazsi,BERT-base,concurrency=16,1,mean_ms,ms,19.89
primary_concurrency,gazsi,BERT-base,concurrency=16,2,throughput,requests/s,859.06
primary_concurrency,gazsi,BERT-base,concurrency=16,2,mean_ms,ms,18.61
primary_concurrency,gazsi,BERT-base,concurrency=16,3,throughput,requests/s,861.75
primary_concurrency,gazsi,BERT-base,concurrency=16,3,mean_ms,ms,18.55
primary_concurrency,gazsi,BERT-base,concurrency=16,4,throughput,requests/s,805.56
primary_concurrency,gazsi,BERT-base,concurrency=16,4,mean_ms,ms,19.85
primary_concurrency,gazsi,BERT-base,concurrency=16,5,throughput,requests/s,846.24
primary_concurrency,gazsi,BERT-base,concurrency=16,5,mean_ms,ms,18.89
primary_concurrency,gazsi,BERT-base,concurrency=32,1,throughput,requests/s,782.49
primary_concurrency,gazsi,BERT-base,concurrency=32,1,mean_ms,ms,40.81
primary_concurrency,gazsi,BERT-base,concurrency=32,2,throughput,requests/s,847.88
primary_concurrency,gazsi,BERT-base,concurrency=32,2,mean_ms,ms,37.67
primary_concurrency,gazsi,BERT-base,concurrency=32,3,throughput,requests/s,862.51
primary_concurrency,gazsi,BERT-base,concurrency=32,3,mean_ms,ms,37.06
primary_concurrency,gazsi,BERT-base,concurrency=32,4,throughput,requests/s,883.91
primary_concurrency,gazsi,BERT-base,concurrency=32,4,mean_ms,ms,36.15
primary_concurrency,gazsi,BERT-base,concurrency=32,5,throughput,requests/s,862.49
primary_concurrency,gazsi,BERT-base,concurrency=32,5,mean_ms,ms,37.05
primary_concurrency,baseline,BERT-base,concurrency=1,1,throughput,requests/s,537.49
primary_concurrency,baseline,BERT-base,concurrency=1,1,mean_ms,ms,1.86
primary_concurrency,baseline,BERT-base,concurrency=1,2,throughput,requests/s,528.34
primary_concurrency,baseline,BERT-base,concurrency=1,2,mean_ms,ms,1.89
primary_concurrency,baseline,BERT-base,concurrency=1,3,throughput,requests/s,525.85
primary_concurrency,baseline,BERT-base,concurrency=1,3,mean_ms,ms,1.9
primary_concurrency,baseline,BERT-base,concurrency=1,4,throughput,requests/s,528.74
primary_concurrency,baseline,BERT-base,concurrency=1,4,mean_ms,ms,1.89
primary_concurrency,baseline,BERT-base,concurrency=1,5,throughput,requests/s,533.44
primary_concurrency,baseline,BERT-base,concurrency=1,5,mean_ms,ms,1.87
primary_concurrency,baseline,BERT-base,concurrency=2,1,throughput,requests/s,544.38
primary_concurrency,baseline,BERT-base,concurrency=2,1,mean_ms,ms,3.67
primary_concurrency,baseline,BERT-base,concurrency=2,2,throughput,requests/s,524.48
primary_concurrency,baseline,BERT-base,concurrency=2,2,mean_ms,ms,3.81
