study,system,model,condition,metric,unit,n,mean,sample_sd,ci95_low,ci95_high
burst_reference,triton,BERT-base,schedule=4_32_4;phase=1;concurrency=4,run_median_ms,ms,5,8.8059691,0.30808126546931575,8.423435684145694,9.188502515854307
burst_reference,triton,BERT-base,schedule=4_32_4;phase=2;concurrency=32,run_median_ms,ms,5,56.0229102,3.481352338833729,51.70024033580768,60.34558006419232
burst_reference,triton,BERT-base,schedule=4_32_4;phase=3;concurrency=4,run_median_ms,ms,5,9.1258649,0.9038484499928905,8.00358881981155,10.248140980188449
burst_reference,triton,BERT-base,schedule=4_64_4;phase=1;concurrency=4,run_median_ms,ms,5,10.9767136,1.0112220259179856,9.721115616226962,12.232311583773038
burst_reference,triton,BERT-base,schedule=4_64_4;phase=2;concurrency=64,run_median_ms,ms,5,118.7982385,4.672281925912625,112.99683424313614,124.59964275686386
burst_reference,triton,BERT-base,schedule=4_64_4;phase=3;concurrency=4,run_median_ms,ms,5,10.9699954,1.0669751600678437,9.645170756766058,12.294820043233942
model_comparison,baseline,BERT-base,concurrency=16,mean_ms,ms,5,26.768,0.7299794517655955,25.86161079531414,27.674389204685863
model_comparison,baseline,BERT-base,concurrency=16,throughput,requests/s,5,597.204,15.775578594777453,577.6160320080309,616.791967991969
model_comparison,baseline,GPT-2,concurrency=16,mean_ms,ms,5,28.25,0.25189283435620025,27.937233736174402,28.562766263825598
model_comparison,baseline,GPT-2,concurrency=16,throughput,requests/s,5,565.644,4.999872998387053,559.4358377023117,571.8521622976883
model_comparison,baseline,GPT-2-Large,concurrency=16,mean_ms,ms,5,158.672,3.809845141209812,153.94145244942823,163.40254755057177
model_comparison,baseline,GPT-2-Large,concurrency=16,throughput,requests/s,5,100.282,2.4146883856928643,97.2837683646044,103.2802316353956
model_comparison,gazsi,BERT-base,concurrency=16,mean_ms,ms,5,11.082,1.4748796561075754,9.250695029328073,12.913304970671929
model_comparison,gazsi,BERT-base,concurrency=16,throughput,requests/s,5,1460.694,174.13268067769468,1244.4797194917937,1676.9082805082062
model_comparison,gazsi,GPT-2,concurrency=16,mean_ms,ms,5,20.618,0.885449038623905,19.518569806496558,21.71743019350344
model_comparison,gazsi,GPT-2,concurrency=16,throughput,requests/s,5,776.236,33.325949798917925,734.8563679287375,817.6156320712624
model_comparison,gazsi,GPT-2-Large,concurrency=16,mean_ms,ms,5,140.536,6.622547093075291,132.3130216981194,148.7589783018806
model_comparison,gazsi,GPT-2-Large,concurrency=16,throughput,requests/s,5,113.354,5.25815842287012,106.82513398947027,119.88286601052972
model_comparison,triton,BERT-base,concurrency=16,mean_ms,ms,5,16.1956,3.1004605786882697,12.34586972159276,20.04533027840724
